"Date","GM_Volume","GM_Price","Ford_Volume","Ford_Price"
"2-Jan-87",922200,11.45,2540100,2.31
"5-Jan-87",2100000,11.73,8670000,2.4
"6-Jan-87",2720000,11.77,6992000,2.43
"7-Jan-87",2000400,11.83,7621200,2.53
"8-Jan-87",2460000,11.66,5807500,2.51
"9-Jan-87",2640000,11.77,8530200,2.55
"12-Jan-87",1940400,11.75,5361400,2.6
"13-Jan-87",1697800,11.64,6196300,2.64
"14-Jan-87",1795600,11.55,12026200,2.76
"15-Jan-87",3280000,11.73,11746500,2.82
"16-Jan-87",3561800,11.77,12096100,2.8
"19-Jan-87",2020000,11.98,5313200,2.81
"20-Jan-87",4000000,12.17,7271600,2.85
"21-Jan-87",2780000,12.11,6992000,2.88
"22-Jan-87",3640000,12.39,9998500,3.07
"23-Jan-87",6280000,12,19158000,2.97
"26-Jan-87",2400000,11.98,8040800,2.96
"27-Jan-87",2720000,12.26,8530200,3.02
"28-Jan-87",2340000,12.32,9159500,3.01
"29-Jan-87",5660000,12.88,4292300,3.01
"30-Jan-87",7460000,12.88,3998000,3
"2-Feb-87",5080000,13.33,6236800,3.06
"3-Feb-87",4560000,13.09,6513000,3.07
"4-Feb-87",3440000,13.41,3959500,3.11
"5-Feb-87",11340000,13.69,11956300,3.21
"6-Feb-87",5960000,13.24,10697700,3.12
"9-Feb-87",2400000,13.24,6038200,3.05
"10-Feb-87",3760000,13.15,6444500,2.97
"11-Feb-87",2720000,13.06,4858000,3.03
"12-Feb-87",3700000,13.06,4927900,3.02
"13-Feb-87",2460000,13.22,6722800,3.07
"17-Feb-87",2200000,13.52,7621200,3.18
"18-Feb-87",2480000,13.43,15592100,3.18
"19-Feb-87",1810000,13.48,5034900,3.19
"20-Feb-87",1795600,13.35,8740000,3.14
"23-Feb-87",1972200,13.32,4697900,3.1
"24-Feb-87",1203800,13.37,3820400,3.11
"25-Feb-87",2480000,13.04,5620100,3.13
"26-Feb-87",2280000,12.93,4434300,3.07
"27-Feb-87",1533200,12.98,2783500,3.08
"2-Mar-87",2860000,13,5099200,3.12
"3-Mar-87",2340000,13.15,4718900,3.1
